title,url,summary
"Addyston Pipe & Steel Co. v. United States","https://en.wikipedia.org/?curid=2432755","Addyston Pipe and Steel Co. v. United States, 175 U.S. 211 (1899), was a United States Supreme Court case in which the Court held that for a restraint of trade to be lawful, it must be ancillary to the main purpose of a lawful contract. A naked restraint on trade is unlawful; it is not a defense that the restraint is reasonable.   == Facts == The defendants were pipemakers who were operating in agreement. When municipalities offered projects available to the lowest bidder, all companies but the one designated would overbid, guaranteeing the success of the designated low bidder if no bidder outside the group submitted a bid. The government argued that some antitrust violations, such as bid rigging, were such egregious anti-competitive acts that they were always illegal (the so-called ""per se"" rule). The defendants asserted that it was a reasonable restraint of trade and that the Sherman Act could not have meant to prevent such restraints.   == Judgment ==   === Court of Appeals (6th Circuit) === The United States Court of Appeals for the Sixth Circuit noted that it would be impossible for the Sherman Act to prohibit every restraint of trade for that would even encompass employment contracts..."
"Apple litigation","https://en.wikipedia.org/?curid=3540442","No summary provided."
"Advanced Micro Devices, Inc. v. Intel Corp.","https://en.wikipedia.org/?curid=18084477","No summary provided."
"Bell Atlantic Corp. v. Twombly","https://en.wikipedia.org/?curid=18116382","No summary provided."
"Albrecht v. Herald Co.","https://en.wikipedia.org/?curid=19906363","No summary provided."
"Associated Press v. United States","https://en.wikipedia.org/?curid=20983067","No summary provided."
"American Society of Mechanical Engineers, Inc. v. Hydrolevel Corp.","https://en.wikipedia.org/?curid=22103697","No summary provided."
"A.D. Bedell Wholesale Co., Inc. v. Philip Morris Inc.","https://en.wikipedia.org/?curid=23283414","No summary provided."
"Bigelow v. RKO Radio Pictures, Inc.","https://en.wikipedia.org/?curid=27192721","No summary provided."
"Arizona v. Maricopa County Medical Society","https://en.wikipedia.org/?curid=27897618","No summary provided."
"Broadcast Music, Inc. v. CBS Inc.","https://en.wikipedia.org/?curid=29609282","No summary provided."
"Aspen Skiing Co. v. Aspen Highlands Skiing Corp.","https://en.wikipedia.org/?curid=29609483","No summary provided."
"Brooke Group Ltd. v. Brown & Williamson Tobacco Corp.","https://en.wikipedia.org/?curid=29609921","No summary provided."
"American Needle, Inc. v. National Football League","https://en.wikipedia.org/?curid=33167728","No summary provided."
"Berkshire Hathaway v. NeighborCity","https://en.wikipedia.org/?curid=41655603","No summary provided."
"Besser Manufacturing Co. v. United States","https://en.wikipedia.org/?curid=50645753","No summary provided."
"Bundling (antitrust law)","https://en.wikipedia.org/?curid=50892302","No summary provided."
"Apple Inc. v. Pepper","https://en.wikipedia.org/?curid=57711063","No summary provided."
"Animal Science Products v. Hebei Welcome Pharmaceuticals","https://en.wikipedia.org/?curid=57952255","No summary provided."
"23XI Racing v. NASCAR","https://en.wikipedia.org/?curid=80923105","No summary provided."
"Federal Baseball Club v. National League","https://en.wikipedia.org/?curid=954585","Federal Baseball Club v. National League, 259 U.S. 200 (1922), is a case in which the U.S. Supreme Court ruled that the Sherman Antitrust Act did not apply to Major League Baseball.   == Background == After the Federal League folded in 1915, most of the Federal League owners had been bought out by owners in the other major leagues, or had been compensated in other ways. For example, the owner of the St. Louis Terriers of the Federal League had been permitted to buy the St. Louis Browns of the American League. The owner of the Baltimore Terrapins had not been compensated, and sued the National League, the American League and other defendants, including several Federal League officials for conspiring to monopolize baseball by destroying the Federal League. In 1919, the defendants were found jointly liable, and damages of $80,000 assessed, which was tripled to $240,000 under the provisions of the Clayton Antitrust Act.   == Judgment ==   === Court of Appeals === The Court of Appeals reversed the trial verdict, and held that baseball was not subject to the Sherman Act. The case was appealed to the Supreme Court.   === Supreme Court ===  In a unanimous decision written by Justice Oliver Wendell Holmes..."
