id,title,authority,industry,status,summary
"","Antitrust Investigation of Tech Corp 1","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 2","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 3","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 4","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 5","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 6","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 7","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 8","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 9","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 10","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 11","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 12","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 13","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 14","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 15","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 16","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 17","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 18","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 19","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 20","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 21","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 22","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 23","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
